level, count
0,0
1,3
2,7
3,3
4,5
5,6
6,11
7,14
8,56
9,296
10,2277
11,6043
12,16724
13,40241
14,47128
15,41247
16,42836
17,80456
18,48154
19,754507
20,701304
21,1036897
22,301606
23,271701
24,199269
25,302172
26,473247
27,191868
28,161420
29,222075
30,353903
31,571462
32,904586
33,589631
34,475898
35,509916
36,467922
37,670201
38,576756
39,781749
40,928805
41,754969
42,797199
43,679369
44,486730
45,391506
46,371066
47,318386
48,345682
49,341822
50,292709
51,257823
52,216362
53,199525
54,179956
55,197525
56,163507
57,180591
58,172865
59,164160
60,157935
61,155506
62,151814
63,164255
64,160292
65,143150
66,153957
67,146018
68,152087
69,147841
70,144933
71,156176
72,141725
73,153979
74,151713
75,138362
76,149853
77,149436
78,162315
79,149552
80,161689
81,144767
82,156535
83,152750
84,153759
85,149306
86,148063
87,147104
88,144993
89,155616
90,139065
91,148176
92,138724
93,143426
94,143725
95,141462
96,145423
97,146779
98,130386
99,129868
100,136186
101,134009
102,134104
103,129631
104,126792
105,122526
106,122668
107,118881
108,125827
109,121289
110,113388
111,116473
112,124187
113,114359
114,113836
115,110725
116,119035
117,109592
118,115004
119,106739
120,114012
121,117562
122,133112
123,140514
124,145834
125,149116
126,167603
127,148063
128,233656
129,185934
130,168987
131,191332
132,217216
133,211834
134,189651
135,189681
136,207777
137,231275
138,193644
139,188957
140,254799
141,234222
142,201134
143,188206
144,220727
145,226526
146,157597
147,167390
148,236128
149,213504
150,191478
151,201634
152,241161
153,177657
154,134845
155,162325
156,229305
157,207313
158,164629
159,168835
160,189893
161,183968
162,158514
163,144353
164,233646
165,180532
166,213783
167,223158
168,210497
169,225565
170,113285
171,135327
172,240755
173,197402
174,304934
175,445865
176,152077
177,7651
178,5359
179,4813
180,4385
181,4209
182,3985
183,3647
184,2947
185,2482
186,1829
187,1447
188,1109
189,772
190,579
191,385
192,221
193,150
194,86
195,47
196,55
197,22
198,18
199,11
200,11
201,11
202,5
203,6
204,4
205,6
206,4
207,3
208,4
209,4
210,0
211,3
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
